Is_there_a_Project_associated_,Ward,Sub_ward_location_001,Sub_Location_mnagei,Sub_Location_kishaunet,Sub_Location_Keringet,Sub_ward_location,Sub_location_kapenguria,Sub_location_kapkoris,Sub_location_Chemwochoi,PB_or_HQ,Project_Name,Additional_Project_Details,Tender sum,Unsure tender sum,wb_pb:id,Added wb_pb:id,Category,Type_of_project,If_Other_what_is_the_project_type,What_is_the_project_s_apparent_status,Is_the_project_operational,Why_has_the_project_not_yet_started,Why_has_the_project_stalled,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,Additional_remark,image:project,image_project_inside,Notes Adele,Validation status on Kobo,Notes Peter & Lucy,Adele response to Peter/Lucy,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,PB,Kapenguria Vocational Training Centre,Construction of Multi-Purpose Hall and Kitchen Vocational Training Centre - Phase 1,,"5,995,506.40 / 4,049,000.00",69,,ETT,Other_1,Dining Hall and Kitchen,on_going,,,,adequate,"The construction is still ongoing.
The foundation is good but the construction is taking too long.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571990926165.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571990969028.jpg,corrected repetition. tender sum to be confirmed between two different sums,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,tilak,,PB,Kapkoris Dispensary,Renovation of Kapkoris Dispensary,"500,000.00",,74,,HS,dispensary,,completed,operational,,,adequate,"The Dispensary is well built.
It helps in the provision of affordable health services for the locals.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571743813726.jpg,,nothing,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,tilak,,PB,Kapkoris Dispensary,Construction of maternity wing at Kapkoris Dispensary,"2,500,000.00",,75,,HS,dispensary,,on_going,,,,adequate,"Construction is to the roof.
Upon construction, the facility will promote maternal health service.","Contractor to complete the remaining works immediately.
Installation of electricity.
Supply of water.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571744669251.jpg,,corrected capitalization,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,chemwochoi,,PB,Kapkoris Makutano Water Supply Project,Kapkoris Makutano water supply project,"3,995,460.00",,76,,WENR,Water_project,,on_going,,,,poor,It has not commenced.,There is need to speed up the construction of the project.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571909568504.jpg,,corrected capitalization,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,kaprom,,PB,Kaprom Dispensary,"Construction of Kaprom Dispensary. 
Renovation of Kaprom Dispensary","4,500,000 / 2,500,000",,80,,HS,dispensary,,completed,non_operational,,,adequate,"Physical observation:
The project is constructed properly and in good condition.
Good siting.
Impact:
Promote universal health access to the community.
Reduced walking distance to health facility.",Incomplete staff quarters. There is need to do finishing.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571406270109.jpg,,2 tender sums because one was construction and the other renovation,Approved,,,,,
yes,kapenguria,,,,,kapenguria,kamatira,,,PB,Katiporot ECDE,Construction of Katiporot ECDE centre,"500,000.00",,85,,ETT,ecde_centre,,on_going,,,,adequate,"Well built.
Promotion of early childhood education.",The ECDE classrooms should be completed soon.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571992171031.jpg,,nothing,Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,ngoleyo,PB,Katungui Cattle Dip,Construction of Katungui Cattle Dip,"2,199,145.40",,86,,PEAGRI,Other_1,Cattle Dip,completed,non_operational,,,excellent,"Both the floor and drainage were done well. The project is excellent.
The community will be able to treat large herds of cattle since the structure is spacious enough.",Road to the project should be repaired. It also needs to be fenced.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571903885243.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571903906626.jpg,duplication with day 18 --> which one is correct?,Approved,We have deleted the duplicate ,"this one is the correct one, merge maybe info before approving",,,
yes,kapenguria,,,,,kapenguria,kamatira,,,PB,Koitumo ECDE,Construction of Koitumo ECDE,"500,000.00",,87,,ETT,ecde_centre,,completed,operational,,,excellent,"Well built.
Promotion of early childhood education.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571993959842.jpg,,nothing,Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,komol,PB,Komol Dispensary,Construction of Maternity Ward at Komol Dispensary,"1,000,000.00",,88,,HS,maternity_ward,,on_going,,,,adequate,It's good but not yet completed.,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571386268194.jpg,,corrected little spelling error,Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,komol,PB,Komol ECDE,Construction of ECDE Classroom at Komol Primary,"500,000.00",,89,,ETT,ecde_centre,,on_going,,,,adequate,One classroom is completed and functioning while the other is on lintal.,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571387499146.jpg,,nothing,Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,chepkechir,PB,Kormonot ECDE,Construction of Kormonot ECDE,"500,000.00",,90,,ETT,ecde_centre,,completed,operational,,,excellent,"Physical observations: The project was well built with firm materials and it is in good condition.
Impact: The ECDE has promoted early childhood education to the community hence education empowerment.",The county government should fund the institution to build more classrooms,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571908216366.jpg,,corrected only some few things in details,Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,ngoleyo,PB,Lokwamuke ECDE,Construction of ECDE Classroom,"500,000.00",,91,,ETT,ecde_centre,,on_going,,,,adequate,The bricks were adequately layed.,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571391528123.jpg,,nothing,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Ministry of Agriculture office block,Construction of an office block,"32,893,814.00",,92,,PEAGRI,Other_1,Office block,completed,operational,,,adequate,"Physical observation: 
The construction was well done.
The roofing, doors, floors and windows were fixed well.
Impact:
Improved service delivery.","The building is not labelled.
The ceiling at the entrance has ripped off.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571394464723.jpg,,corrected project name,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Modern fire station,Construction of modern fire station,"3,000,000.00",,94,,LHPPUD,Other_1,Modern fire station,on_going,,,,adequate,"Physical observation: 
The project is ongoing, the contractor on the site, materials already at the site, at lintel stage.
Impact:
Not in use.","They have constructed office, 2 dormitories, one store and kitchen.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571386454456.jpg,,just removed some spaces in between words,Approved,,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,HQ,Mtelo Hall,Renovation of Kapenguria Mtelo hall,"19,816,338.00",,95,,YSTGSS,social_hall,,completed,operational,,,excellent,"Physical observation:
The renovation has been done well.
Impact:
It has helped the youth and community by providing them space for holding their activities and improving their skills.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571919539903.jpg,,Corrected capitalization,Approved,,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,HQ,Mtelo restaurant and cottages,Construction of restaurant and cottages at Mtelo,"30,058.91",,96,,YSTGSS,Other_1,Restaurant and cottages block,on_going,,,,adequate,"Physical observation  
Construction is at completion ",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571918980669.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571919006285.jpg,corrected capitalization. is the type Other correct?,Approved,The project type is correct since it was free text,,,,
yes,kapenguria,,,,,kapkoris,,chemwochoi,,PB,Ngingin Baptist ECDE,Construction of ECDE Classroom at Ngingin,"500,000.00",,98,,ETT,ecde_centre,,completed,operational,,,poor,"The classroom is made of mud.
The environment is not conducive for learning.",The pupils will be moved to Baptist ECDE center.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571911289957.jpg,,"nothing, description too general: was it renovation, construction or what?",Approved,Rectified the project description,,,,
yes,kapenguria,,,,,chemwochoi,,,ngoleyo,PB,Ngoleyo Water Supply,Repair of Ngoleyo water supply,"1,399,000.00",,99,,WENR,Water_project,,completed,operational,,,excellent,"The project is in brilliant state.
It supplies water to Ngoleyo Primary and Chemochoi Mixed.",It should be piped further in order to reach more people in the community.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571731616600.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571731627015.jpg,nothing,Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,komol,PB,Nyakwala ECDE,Construction of ECDE Classroom,"500,000.00",,100,,ETT,ecde_centre,,completed,operational,,,adequate,The floors were done averagely.,Pupils lack chairs and teaching materials.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571389523939.jpg,,nothing,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,kaprom,,PB,Roponywo Primary School,Proposed installation of lightning arrestor at Roponywo primary school,"1,205,356.00",,105,,RPWTI,Other_1,Lightening arrestor,completed,operational,,,excellent,"Well installed.
It will reduce the risk of lightning strikes at the school.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571731322404.jpg,,corrected project name and department,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,kaprom,,PB,Roponywo Dispensary,Proposed completion of Roponywo dispensary,,"1,448,119.20 / 500,000",106,,HS,dispensary,,completed,non_operational,,,adequate,"The facility is well built and fenced.
No power connection.
The facility is not yet in use.",There is urgency in equipping the facility with drugs and personnel.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571727349084.jpg,,to check tender sum because two in the project list: completion and renovation,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,tilak,,PB,Tilak Cattle Dip,Construction of Cattle Dip at Tilak,"1,688,710.00",,113,,PEAGRI,Other_1,Cattle Dip,completed,operational,,,adequate,"The project is complete and in use.
It helps in the prevention of livestock pests and diseases.",The acaricide in the dip is stagnant and needs to be changed more frequently.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571906667163.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571906692024.jpg,nothing,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,tilak,,PB,Tilak ECDE,Construction of ECDE classroom,"1,000,000.00",,114,,ETT,ecde_centre,,on_going,,,,poor,"The building is partially complete.
It lacks the necessary stationary and hence not conducive for learning.","There is need for more funds in order to complete the remaining part of the classroom.
The school lacks a title deed.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571916675986.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571916723112.jpg,nothing,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,tilak,,PB,Tilak water project,Piping of Tilak water project,"2,898,048.00",,116,,WENR,Water_project,,completed,operational,,,adequate,"The storage tank is well constructed and in use.
It has improved access to water in the community.
The supply is however skewed and does not reach everyone in the area.",There is need for more piping in order to reach more people in the community.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571913098350.jpg,,nothing,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,kaprom,,PB,Tokolto ECDE,Construction of Tokolto ECDE Classroom,"500,000.00",,117,,ETT,ecde_centre,,completed,non_operational,,,adequate,"Physical observation:
The project is in good state.
It is sited appropriately.
Impact:
It promotes early childhood education.
It promotes easy walking distance for pupils.","Needs of the school.
Fencing of the school.
Construction of pit latrine.
Supply of electricity.
Access road needed.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571405851859.jpg,,"corrected grammar, description too general: was it renovation, construction or what?",Approved,Rectified the project description,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,PB,Tomena ECDE,Construction of Tomena Primary ECDE,"400,000.00",,118,,ETT,ecde_centre,,on_going,,,,adequate,"Physical observations:
The project is ongoing. 
The project will promote early childhood education which will also promote skills and knowledge.","Provision of chairs, desks and stationary
They require a proper drainage.
Painting needs to be done.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571993568264.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571993597874.jpg,corrected spelling and project name,Approved,,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,PB,Tomena Primary School,Renovation of Three Classrooms at Tomena Primary,"560,530.00",,119,,ETT,ecde_centre,,completed,operational,,,adequate,"The roofing has been done. 
The classroom will promote education and impact students with skills",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571993779032.jpg,,corrected project name and capitalization. not sure about type other > classroom,Approved,Type of project should be ecde_centre.Have corrected that,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,West Pokot county water Procurement office,Renovation and extension of county water procurement office,,,123,0,WENR,Other_1,Office block,completed,operational,,,excellent,"Physical observation: 
Renovation and construction was well done.
Impact:
Improved service delivery.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571391325109.jpg,,"to be checked the tender sum/budget, since found during fieldwork",Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Tree nursery,Tree nursery,,,124,0,WENR,Other_1,Tree nursery,completed,operational,,,excellent,"Physical observation:
Well maintained with seedlings.
There is enough water.
There is enough adequate staff.
Impact:
Environment conservation.",The tank has broken and needs to be replaced.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571391963131.jpg,,"to be checked the tender sum/budget, since found during fieldwork",Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Kilimo perimeter wall,Construction of perimeter wall at Kilimo house,,,125,0,PEAGRI,Other_1,Perimeter wall,completed,operational,,,excellent,"Physical Observation:
The wall has done well.
The building materials was of good quality.
Impact:
It has improved security of building.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571395036910.jpg,,"to be checked the tender sum/budget, since found during fieldwork",Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Tourism office,Construction of tourism office pit latrine,,,126,0,YSTGSS,public_toilet,,on_going,,,,adequate,"Physical observation:
The roofing, painting and floor is well done.
Impact:
The pit latrine will cater for the tourism officers.",The doors are yet to be fixed.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571730870332.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571730889049.jpg,corrected project name. added project ID since found in the field. tender sum still to add,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Tourism office,Construction of tourism office fence-chain link,,,127,0,YSTGSS,Other_1,Fencing,completed,operational,,,excellent,"Physical observation:
The fencing was properly done.
Impact:
It has improved security at the facility.",The fencing poles are not strong.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571731499168.jpg,,corrected project name. added project ID since found in the field. tender sum still to add,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Tourism office,Construction of parking shed,,,128,0,YSTGSS,parking_space,,completed,operational,,,excellent,"Physical observation:
The parking shade has been well constructed.
Impact:
It has provided ample shed for the office vehicles.",The shade should be expanded.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571731844690.jpg,,corrected project name. added project ID since found in the field. tender sum still to add,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Tourism office,Construction of tourism kitchen,,,129,0,YSTGSS,Other_1,Kitchen,completed,operational,,,adequate,"Physical observation:
The roofing has been done well.
Impact:
The kitchen has catered the office in easy preparation of food.",The kitchen is not spacious.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571732167604.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571732217901.jpg,corrected project name. added project ID since found in the field. tender sum still to add,Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Investment and Cooperative Development Fence,Construction of investment and cooperative development fence,,,130,0,TIICD,Other_1,Fencing,completed,operational,,,adequate,"Physical observation:
The whole fencing is in bad state.
The fencing poles and chain link used are rusted. 
Impact:
It has improved security within the department.",The fencing should be repaired.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571736915992.jpg,,"added project ID since found in the field, therefore to add tender sum",Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,West Pokot county public service board,Renovation of county public service board,,,131,0,OG,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The renovation was perfectly done.
Impact:
The building has provided condusive environment for the board staff.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571738568139.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571738596473.jpg,"added project ID since found in the field, therefore to add tender sum",Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,West Pokot County Library,Renovation of West Pokot county library,,,132,0,YSTGSS,library,,completed,operational,,,excellent,"Physical observation:
The renovation was well done.
Impact:
The library has enabled the community to know about the historical events.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571739341075.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571739353842.jpg,"added project ID since found in the field, therefore to add tender sum",Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Kenya Climate Smart Agriculture Project,Renovation of Kenya climate smart agriculture project,,,133,0,PEAGRI,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The renovation was well done.
Impact:
The facility will assist in building the capacity of farmers on smart farming.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571739780494.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571739831503.jpg,"added project ID since found in the field, therefore to add tender sum",Approved,,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,County Assembly,County Assembly office,,,134,0,CA,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The renovation was well done.
Impact:
The office has enabled swift operation for the county assembly staff. ",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571747119638.jpg,,corrected project name and description (there were observations in it). Tender sum still to find. Added project ID since found in the field,Approved,,,,,
yes,kapenguria,,,,,kapkoris,,kaprom,,PB,Roponywo ECDE,Construction of ECDE classrooms,,,135,0,ETT,ecde_centre,,completed,operational,,,excellent,"Well constructed.
It has improved the level of literacy in the area by promoting early childhood education.","No electricity.
Additional furniture needed.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571731849944.jpg,,"added project ID since found in the field, therefore to add tender sum",Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,naramam,PB,Kopoch ECDE centre,Construction of ECDE classroom,,,136,0,ETT,ecde_centre,,on_going,,,,adequate,"Physical observation: The construction is almost to completion.
Impact: The Kopoch ECDE centre promotes education to early childhood in the community.",Inaccessibility to the institution.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571402026227.jpg,,corrected spelling errors. Tender sum to be checked since found in the field,Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,chepkechir,PB,Chepkechir Cattle Dip,Construction of Chepkechir Cattle Dip,,,137,0,PEAGRI,Other_1,Cattle Dip,completed,non_operational,,,adequate,"Physical Observations:
The project has been well constructed but lacks proper management.
Impact:
If the project was operational, it would help the community in promoting livestock rearing by controlling pests and diseases.",The local committee should order new acaricide for proper management and for the cattle dip to be operational.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571736436847.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571736477433.jpg,added project ID since found in the field,Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,chepkechir,PB,Chepkechir Dispensary,Completion of Chepkechir Dispensary maternity ward,,,138,0,HS,maternity_ward,,completed,non_operational,,,excellent,"Physical observation:
The project is well built.
Impact:
Once the maternity wing is open, it willl be able to reduce mother and child mortality rate since expectant mothers won't travel far for maternal services.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571739614002.jpg,,corrected project name as previous and added project ID since found in the field. tender sum to have,Approved,,,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Murkwijit Pit Latrine,Construction of Murkwijit Pit Latrine,,,139,0,LHPPUD,public_toilet,,completed,operational,,,excellent,"The project is completed and operational.
It has improved access to toilets hence improving sanitation in the area.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571740978799.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571740992495.jpg,Still to add project ID because found in the field and therefore the tender sum. Are we sure that the department is correct and is not LHPPUD or HS?,Approved,The correct department is LHPPUD,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Governor's Residence,Construction of Governor's residence wall,,,140,0,OG,Other_1,Governor's residence wall,completed,operational,,,excellent,"Physical observation:
The construction was well done. 
Impact:
The wall has provided security to the Governor's residence. ",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571902972983.jpg,,"nothing, not found new project ID and it misses also the tender sum",Approved,added project id,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,HQ,Fish Hatchery,Construction of fish hatchery,,,141,0,PEAGRI,Other_1,Office block,completed,non_operational,,,adequate,"Physical observation:
The construction was well done.
Impact:
The building is not yet in use.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571907468002.jpg,,not found the new project ID and to add contract sum,Approved,Added project id,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Health office,Construction of West Pokot Health Office,,,142,0,HS,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The construction was well done.
Impact:
The building has improved the health sector services.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571908672755.jpg,,corrected capitalization. not found new project ID and to add tender sum,Approved,Added project id,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Hospital Office,Construction of County Health Office,,,143,0,HS,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The construction was well done.
Impact:
It has improved service delivery.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571908960694.jpg,,not found the new project ID and to add contract sum,Approved,Added project id,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Health office,Renovation of West Pokot Department of Health,,,144,0,HS,Other_1,Office block,completed,operational,,,excellent,"Physical observation:
The renovation was well done.
Impact:
Improved service delivery.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571909311014.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571909338343.jpg,corrected capitalization. not found new project ID and to add tender sum,Approved,Added project id,,,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Kapenguria Referral Pit Latrine,Construction of pit latrine,,,145,0,HS,public_toilet,,completed,operational,,,excellent,"Physical observation: 
The construction was well done.
Impact:
Improved access to clean and safe toilets for the patients and hospital staff.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571915364154.jpg,,not found the new project ID and to add contract sum,Approved,Added project id,,,,
yes,mnagei,Kishaunet,,Lityei,,,,,,PB,Makutano ECDE,Completion of Makutano ECDE Centre,,,146,0,ETT,ecde_centre,,stalled,,,contractor_left,adequate,The ironsheets are well but the windows and floors need to be completed and the contractor should be recalled. The ECDE will promote early childhood education.,"The current classrooms are in very bad conditions, the building is almost falling, the doors, roof and windows are in very bad condition.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571909019013.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571909062311.jpg,"corrected project name, punctuation and added project ID since found in the field. still need to be added the tender sum",Approved,,,,,
yes,kapenguria,,,,,chemwochoi,,,chepkechir,PB,Putor ECDE,Construction of ECDE classroom,,,147,0,ETT,ecde_centre,,not_yet_started,,under_procurement,,adequate,"Physical observations: The proposed site is yet to be construction.
Impact: When the project is complete, it will promote smooth learning of early childhood education.",The school is in need of more classrooms through government attention.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571910883052.jpg,,corrected only some few things in details + added project ID (found in the field) so still to add tender sum,Approved,,,,,
yes,kapenguria,,,,,kapenguria,kamatira,,,PB,Kalomoywo ECDE,Construction of Kalomoywo ECDE,,,148,0,ETT,ecde_centre,,completed,operational,,,excellent,"Well built.
Promotion of early childhood education.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571987922457.jpg,,"nothing. not found new project ID since found in the field, tender sum to add",Approved,Added project id,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,HQ,St.Francis Secondary School For The Visually Impaired,Construction of St.Francis secondary school for visually impaired,,,151,0,ETT,Other_1,Secondary School,on_going,,,,excellent,The construction is partially complete.,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571993074528.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571993097296.jpg,type Other probably to be corrected. added new project ID since found in the field. tender sum still to be added,Approved,have corrected the type other to Secondary School,perfect,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,PB,St.Peters Kapenguria Prison ECDE,Construction of ECDE classrooms at Kapenguria Prisons,,,152,0,ETT,ecde_centre,,on_going,,,,adequate,"The project is at finishing stage.
The classrooms are yet to be painted.
The ECDE will promote early childhood education to people living around Kapenguria prisons.",They are requesting extension of school to primary.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571998386756.jpg,,"added new project ID since found in the field, tender sum to add",Approved,,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,PB,Kapenguria Water and Sewerage  Services,Renovation of Kapenguria Water Supply,,,153,0,WENR,Water_project,,completed,operational,,,adequate,"The project is operational but is much affected by floods during rainly season which interfers with machine operation. 
It has enabled supply of water for domestic use.","The water project needs some renovation for the machines. 
They also need lighting due to insecurities as the area is forested.
Needs reinforcement on project management.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571991836194.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571991856578.jpg,"removed spaces in between words. added new project ID since found in the field, tender sum still to add",Approved,,,,,
yes,kapenguria,,,,,kapenguria,chewoyet,,,HQ,Aramaket-Kapsurum Foot Bridge,Construction of Aramaket-Kapsurum Bridge,,,154,0,RPWTI,Other_1,Bridge,completed,operational,,,poor,"Physical observations:
The bridge is in poor condition.
Some parts have broken down.
Once the bridge is repaired, it will easen transportation. ",The bridge needs to be repaired.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571997754070.jpg,,"corrected grammar, added project ID since found in the field, tender sum to add. not sure about type: road or other > bridge?",Approved,it is a bridge,,,,
yes,mnagei,kishaunet,,lityei,,,,,,PB,Makutano Market Public Toilet,Construction of Toilet Block at Makutano Market,,,155,0,HS,public_toilet,,completed,operational,,,excellent,Roofing is well and it's well ventilated.,Good.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572422964513.jpg,,"corrected grammar, it misses description, tender sum and project ID since found in the field",Approved,Added project id.Have indicated the corect project description,it still misses the description,,,
yes,mnagei,kishaunet,,lityei,,,,,,PB,Kacheliba Bodaboda Shed,Construction of Boda Boda Shed at Kacheliba,,,156,0,RPWTI,Other_1,Bodaboda Shed,completed,operational,,,adequate,Good roofing with enough space.,It provide shed to the bodaboda people.,,,"corrected grammar, other 1, it misses description, tender sum and project ID since found in the field, missing also the picture",Approved,Added project id.Have indicated the corect project description,it still misses the description,,,
